"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 12 10:40:05 GMT 2024","Fri Jan 12 10:40:08 GMT 2024","3193","","Login","","","","Login com conta cadastrada",""
"failed","Fri Jan 12 10:40:26 GMT 2024","Fri Jan 12 10:40:35 GMT 2024","9668","","Eventos","","","","Cadastrar Eventos",""
"passed","Fri Jan 12 10:40:22 GMT 2024","Fri Jan 12 10:40:24 GMT 2024","1754","","Criacao de Conta","","","","Criacao de conta ja existente",""
"failed","Fri Jan 12 10:40:35 GMT 2024","Fri Jan 12 10:40:45 GMT 2024","9431","","Eventos","","","","Cadastrar Eventos somento com campos obrigatórios",""
"passed","Fri Jan 12 10:40:50 GMT 2024","Fri Jan 12 10:40:54 GMT 2024","3937","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #2)",""
"passed","Fri Jan 12 10:41:14 GMT 2024","Fri Jan 12 10:41:15 GMT 2024","392","","Validar Página Inicial","","","","Acessar a Página Inicial",""
"passed","Fri Jan 12 10:40:17 GMT 2024","Fri Jan 12 10:40:17 GMT 2024","735","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #1)",""
"failed","Fri Jan 12 10:40:09 GMT 2024","Fri Jan 12 10:40:14 GMT 2024","4895","","Login","","","","Validacao campos obrigatorios login (example #2)",""
"passed","Fri Jan 12 10:40:54 GMT 2024","Fri Jan 12 10:40:58 GMT 2024","4842","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #3)",""
"passed","Fri Jan 12 10:40:15 GMT 2024","Fri Jan 12 10:40:17 GMT 2024","1542","","Criacao de Conta","","","","Criacao de conta com sucesso",""
"passed","Fri Jan 12 10:40:45 GMT 2024","Fri Jan 12 10:40:50 GMT 2024","5001","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #1)",""
"failed","Fri Jan 12 10:40:17 GMT 2024","Fri Jan 12 10:40:22 GMT 2024","4817","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #2)",""
"passed","Fri Jan 12 10:40:08 GMT 2024","Fri Jan 12 10:40:09 GMT 2024","781","","Login","","","","Validacao campos obrigatorios login (example #1)",""
"failed","Fri Jan 12 10:41:06 GMT 2024","Fri Jan 12 10:41:13 GMT 2024","7045","","Eventos","","","","Editar Card Eventos",""
"passed","Fri Jan 12 10:40:59 GMT 2024","Fri Jan 12 10:41:06 GMT 2024","7161","","Eventos","","","","Validar Card Eventos",""
